id;endereco;nome;telefone;categoria;nota_media;localizacao;lat;long;imagem;imagem_content_type;preco_filter;place_id
1;generation transform Corporate;Future-proofed 1080p;Chips Views cutting-edge;strategic secondary;92698;Nauru deposit;25160;9726;../fake-data/blob/hipster.png;image/png;29887;Credit payment cross-platform
2;Frozen CFA;face Lead;Metal eyeballs Chair;Washington Concrete Concrete;22289;Associate Market;83482;86325;../fake-data/blob/hipster.png;image/png;19130;Tools transform
3;Health Account;drive Clothing Concrete;Berkshire;Technician Direct;1554;drive robust;51955;54692;../fake-data/blob/hipster.png;image/png;28871;Rican
4;portal Representative;microchip Quetzal Guyana;Loan;Baby;93521;Borders homogeneous;21303;86839;../fake-data/blob/hipster.png;image/png;91915;Architect
5;SDR Computers;teal Fuerte California;system;fuchsia green Oval;5349;Organic;49650;80641;../fake-data/blob/hipster.png;image/png;88049;parsing Account
6;next-generation quantifying;Games Chips;24/7 Global Baby;Architect;33087;wireless Practical Internal;45408;41691;../fake-data/blob/hipster.png;image/png;54155;panel invoice Cotton
7;Forward Cape;Centralized infrastructures calculate;Fresh Hawaii;SQL;62815;Koruna Car;59542;75858;../fake-data/blob/hipster.png;image/png;8903;Programmable
8;Avon interface Bacon;Bike Generic;parse calculate invoice;XML Berkshire;14835;Manager;53227;48357;../fake-data/blob/hipster.png;image/png;94975;Market Communications Clothing
9;User-friendly compressing payment;Branding eyeballs compressing;schemas;Account;28565;digital Frozen parse;19553;30368;../fake-data/blob/hipster.png;image/png;46217;user-facing Circles
10;Cambridgeshire panel Fish;Checking applications;Computer Credit Soft;payment;24254;Account;20735;37075;../fake-data/blob/hipster.png;image/png;99144;innovate feed port
