id;endereco;nome;telefone;categoria;nota_media;localizacao;imagem;imagem_content_type;preco_filter;place_id;latitude
1;Berkshire markets Berkshire;Forward Buckinghamshire Gloves;AGP;New;forecast;input Yemeni web;../fake-data/blob/hipster.png;image/png;62849;Legacy PCI Estate;17022
2;Dollar Fresh;data-warehouse;Soft;application;impactful Planner violet;Granite Romania;../fake-data/blob/hipster.png;image/png;25537;Small Steel Metal;63884
3;Grocery;Analyst Georgia;olive;Applications;Home action-items Bypass;methodology Buckinghamshire;../fake-data/blob/hipster.png;image/png;6670;indexing Indiana;87885
4;line Soft moderator;incubate;eco-centric;optimizing;synergy;knowledge haptic Progressive;../fake-data/blob/hipster.png;image/png;76382;protocol Dinar Baby;1249
5;Shirt Michigan;invoice;olive Directives Markets;background silver teal;Parkway Licensed indexing;green;../fake-data/blob/hipster.png;image/png;51488;Customer;65065
6;wireless Health;Agent;Toys;Suriname silver;Integrated microchip Profit-focused;Dynamic and leading-edge;../fake-data/blob/hipster.png;image/png;15722;JBOD;27567
7;background Cotton Legacy;Practical up Devolved;digital AI;COM primary;Account;e-commerce;../fake-data/blob/hipster.png;image/png;84079;solutions;80916
8;Salad Awesome;system-worthy;hierarchy primary;Bedfordshire;leverage JBOD;sexy;../fake-data/blob/hipster.png;image/png;28758;Alley;9063
9;generate Sleek EXE;Facilitator;Optimization Buckinghamshire Coordinator;Pizza Helena;SQL FTP Chips;Dynamic portal extensible;../fake-data/blob/hipster.png;image/png;93934;Loan 24/7 deliverables;90759
10;generation unleash;connecting Diverse;pink Accountability enhance;Ball Electronics;Berkshire Legacy;mobile Coordinator;../fake-data/blob/hipster.png;image/png;88379;out-of-the-box gold;55811
