id;numero_serie;nome;status;foto_equipamento;foto_equipamento_content_type
1;78047;Groves redundant;COM_DEFEITO;../fake-data/blob/hipster.png;image/png
2;79823;Ergonomic system;EM_MANUTENCAO;../fake-data/blob/hipster.png;image/png
3;33969;Towels;COM_DEFEITO;../fake-data/blob/hipster.png;image/png
4;4955;Switzerland;EM_MANUTENCAO;../fake-data/blob/hipster.png;image/png
5;4859;networks Martinique;EM_MANUTENCAO;../fake-data/blob/hipster.png;image/png
6;37048;Plastic Balboa;EM_MANUTENCAO;../fake-data/blob/hipster.png;image/png
7;92455;compressing;EM_FUNCINAMENTO;../fake-data/blob/hipster.png;image/png
8;25419;silver Markets;EM_MANUTENCAO;../fake-data/blob/hipster.png;image/png
9;95154;Kazakhstan;EM_MANUTENCAO;../fake-data/blob/hipster.png;image/png
10;2827;capacity Handcrafted Chief;EM_MANUTENCAO;../fake-data/blob/hipster.png;image/png
